id,type,title,milestone,labels,blocked_by,effort,panels,spec,acceptance,description
AP-4.1,work_package,AP-4.1 · Fact store: SCIP → Parquet → DuckDB in the harness,Stage 4 — Handles and knowledge,"acceptance/blocker,effort/L,kind/platform,panel/E,panel/G,stage/4",AP-3.3,L,"E-09, G-01, G-03, G-05","SP-E09-1 through SP-E09-6, SP-G01-1 through SP-G01-6, SP-G03-1, SP-G03-2, SP-G05-1","AB-E09-3, AB-E09-5, AB-G01-2, AB-G01-3, AB-G01-4, AB-G03-1, AB-G03-2, AB-G05-1","**Stage:** 4 · **Panels:** E-09, G-01, G-03, G-05 · **Effort:** L
**Blocked by:** AP-3.3
**Specification:** SP-E09-1 through SP-E09-6, SP-G01-1 through SP-G01-6, SP-G03-1, SP-G03-2, SP-G05-1
**Acceptance:** AB-E09-3, AB-E09-5, AB-G01-2, AB-G01-3, AB-G01-4, AB-G03-1, AB-G03-2, AB-G05-1

### Goal
Agents do not read code in order to understand — they read facts. 10,000 pods with 200K context each hold, together, under one thousandth of such a corpus. A hallucinated call graph is worse than none.

### Tasks
- [ ] A SCIP indexer for the first language; a missing indexer is a job, not a project
- [ ] Storage as Parquet, partitioned by build target, keyed by file content + indexer version
- [ ] DuckDB embedded in the harness; distribution to pods as a read-only CoW snapshot
- [ ] Exactly one writer; pods read — the same rule as with the cache daemon
- [ ] Judgements as an append-only log with a citation to facts; expiry via the content hash
- [ ] A cache daemon for shared caches; pods read, only the daemon writes
- [ ] Activity state as a field on every fact (active/dormant/silenced/fossil)

### Done when
- fact.query in the pod is a file read without network; the response time measured.

### Boundary of this issue
No fact service, no second process. Files have the properties V-05 demands."
AP-4.2,work_package,AP-4.2 · The thirteen handles from F-03 as SKILL.md,Stage 4 — Handles and knowledge,"effort/XL,kind/catalog,measurement,panel/F,panel/G,stage/4",AP-4.1,XL,"F-01, F-02, F-03, F-07, G-06","SP-F01-1 through SP-F01-4, SP-F02-1, SP-F03-1, SP-F07-1, SP-F07-2, SP-F07-5, SP-G06-1","AB-F01-1, AB-F01-4, AB-F03-1, AB-F05-3, AB-F07-1, AB-F07-4, AB-G06-1","**Stage:** 4 · **Panels:** F-01, F-02, F-03, F-07, G-06 · **Effort:** XL
**Blocked by:** AP-4.1
**Specification:** SP-F01-1 through SP-F01-4, SP-F02-1, SP-F03-1, SP-F07-1, SP-F07-2, SP-F07-5, SP-G06-1
**Acceptance:** AB-F01-1, AB-F01-4, AB-F03-1, AB-F05-3, AB-F07-1, AB-F07-4, AB-G06-1

### Goal
Handles need no model and are checkable before any agent question. A capability without evidence is not a capability but a habit. — Split candidate: one sub-issue per handle.

### Tasks
- [ ] fact.query · context.assemble · test.select · build · check.types · check.tests
- [ ] codemod.apply · artifact.compare · flake.detect · snapshot.create · snapshot.reap
- [ ] effect.enqueue · gap.report
- [ ] Per handle: the five parts from F-01, metadata.order=handle, min_authority, its own abort condition
- [ ] Per handle: three cases in the corpus before it may enter the catalog
- [ ] A catalog checker: rejects a capability without evidence or boundary

### Done when
- Every handle has a measured success_rate and a named boundary. MEASUREMENT of this stage.

### Boundary of this issue
No procedure, no campaign. And no handle calls another."
AP-4.3,work_package,"AP-4.3 · Context assembly (G-07): five stages, a manifest, a hard gate",Stage 4 — Handles and knowledge,"acceptance/blocker,effort/L,kind/platform,panel/G,panel/Q,stage/4","AP-4.1, AP-4.2",L,"G-07, Q-03",SP-G07-1 through SP-G07-9,"AB-G07-1, AB-G07-3, AB-G07-6, AB-G07-7, AB-G07-9","**Stage:** 4 · **Panels:** G-07, Q-03 · **Effort:** L
**Blocked by:** AP-4.1, AP-4.2
**Specification:** SP-G07-1 through SP-G07-9
**Acceptance:** AB-G07-1, AB-G07-3, AB-G07-6, AB-G07-7, AB-G07-9

### Goal
A deterministic step before the agent, with a budget and an abort condition — not a behavior you leave to the model. An agent has to know what it has not seen.

### Tasks
- [ ] anchor · hull · skeleton · body · manifest with the depth table from G-07
- [ ] The skeleton ten to twenty times broader than the bodies; bodies only after judgement
- [ ] Activity state as a filter; fossil only as a count in the manifest
- [ ] Drift as a freshness measure; flag contradicting instructions before acting
- [ ] The gap report as a hard gate; never truncate silently, propose a split instead
- [ ] The write-back path: judgement candidates with a citation at the end of the job

### Done when
- A job without an index or without tests at the anchor does not start, but produces a preparation job.

### Boundary of this issue
The map is never trimmed. The context is filtered, never the knowledge layer."
AP-4.4,work_package,"AP-4.4 · Catalog, deterministic resolution, pinning via the content hash",Stage 4 — Handles and knowledge,"effort/M,kind/catalog,panel/F,stage/4",AP-4.2,M,"F-04, F-07, F-01","SP-F04-5, SP-F07-3, SP-F01-2","AB-F04-5, AB-F07-3, AB-F01-2","**Stage:** 4 · **Panels:** F-04, F-07, F-01 · **Effort:** M
**Blocked by:** AP-4.2
**Specification:** SP-F04-5, SP-F07-3, SP-F01-2
**Acceptance:** AB-F04-5, AB-F07-3, AB-F01-2

### Goal
The pod never sees the catalog: with three hundred capabilities that would be tens of thousands of tokens in every pod. The coverage check resolves beforehand and encloses only the resolved capabilities — an agent does not choose what it reads.

### Tasks
- [ ] Content-addressed capability versions; the hash computed at check-in
- [ ] Resolution deterministic outside the pod
- [ ] Only resolved capabilities are enclosed
- [ ] min_authority is enforced at resolution, not admonished in the prompt

### Done when
- A pod context contains no description of an unresolved capability; catalog maintenance changes no running project.

### Boundary of this issue
The complete coverage check with a criterion comes in AP-5.6 — first the criterion, then the question whether we can do it."
AP-4.5,work_package,AP-4.5 · Derived relations with Soufflé as a maintenance job,Stage 4 — Handles and knowledge,"effort/M,kind/platform,panel/E,panel/G,panel/R,stage/4",AP-4.1,M,"E-09, G-06, R-B",SP-E09-4,,"**Stage:** 4 · **Panels:** E-09, G-06, R-B · **Effort:** M
**Blocked by:** AP-4.1
**Specification:** SP-E09-4
**Acceptance:** — (a precondition, no row of its own)

### Goal
The transitive call graph, reachability and points-to on candidates are deterministic and belong in the batch — not in the hot path of a job.

### Tasks
- [ ] A Soufflé rule set for the three derivations
- [ ] Execution as a maintenance job (the priority from R-B)
- [ ] Write the results back as further Parquet partitions
- [ ] Measure the runtime against the maintenance window

### Done when
- The incremental rebuild of the largest repository family stays inside the maintenance window — otherwise the overturn condition from E-09 applies.

### Boundary of this issue
No Glean, no CodeQL, no Kythe. The handle stays, the storage could change later."
AP-5.1,work_package,AP-5.1 · Intent contract (Q-01): spec as a versioned object,"Stage 5 — Intent, then captain","acceptance/blocker,effort/L,kind/platform,measurement,panel/K,panel/Q,stage/5",AP-4.3,L,"Q-01, K-02, K-01","SP-Q01-1 through SP-Q01-7, SP-K02-4","AB-Q01-1, AB-Q01-2, AB-Q01-3, AB-Q01-4, AB-Q01-5, AB-Q01-6, AB-K02-4","**Stage:** 5 · **Panels:** Q-01, K-02, K-01 · **Effort:** L
**Blocked by:** AP-4.3
**Specification:** SP-Q01-1 through SP-Q01-7, SP-K02-4
**Acceptance:** AB-Q01-1, AB-Q01-2, AB-Q01-3, AB-Q01-4, AB-Q01-5, AB-Q01-6, AB-K02-4

### Goal
This is where human error disappears, not in the model — not because a machine guesses better, but because a sentence becomes a checkable criterion that is then applied mechanically a thousand times over.

### Tasks
- [ ] prompt → interpret → acceptance → clarify → spec, versioned and citable
- [ ] acceptance[] and assumptions[] as objects, revocable individually
- [ ] Reversibility matrix: reversible / costly / irreversible × unambiguous / ambiguous
- [ ] At most one clarification per job, only about the ambiguity that changes the execution
- [ ] A clarification deadline; then back to the captain with the assumption logged (OP-3)
- [ ] No acceptance criterion, no job — a hard gate
- [ ] A version change re-evaluates open jobs instead of letting them run on

### Done when
- A prompt with no derivable criterion produces a preparation job instead of a job. MEASUREMENT: no_clarification_rate.

### Boundary of this issue
The clarification is a cost item, not a safety net. A system that always asks has merely shifted the errors back onto the human."
AP-5.2,work_package,AP-5.2 · The ten procedures from F-03,"Stage 5 — Intent, then captain","effort/XL,kind/catalog,panel/F,stage/5","AP-5.1, AP-4.4",XL,"F-02, F-03, F-05","SP-F02-1 through SP-F02-4, SP-F03-1, SP-F05-1 through SP-F05-4","AB-F02-2, AB-F03-1, AB-F05-1, AB-T03-3","**Stage:** 5 · **Panels:** F-02, F-03, F-05 · **Effort:** XL
**Blocked by:** AP-5.1, AP-4.4
**Specification:** SP-F02-1 through SP-F02-4, SP-F03-1, SP-F05-1 through SP-F05-4
**Acceptance:** AB-F02-2, AB-F03-1, AB-F05-1, AB-T03-3

### Goal
One model step per procedure, evidence at the test. The model decides the whether, never the how. — Split candidate: one sub-issue per procedure.

### Tasks
- [ ] spec.derive · test.repair · bug.fix · interface.change · function.extract
- [ ] dependency.update · test.write · review.produce · image.build · adapter.build
- [ ] Per procedure: exactly one model decision, a named boundary, an evidence class
- [ ] The catalog checker rejects an upward call and a cycle
- [ ] A missing handle becomes a job, never an improvisation mid-run

### Done when
- The catalog checker rejects an upward call and a cycle; three corpus cases per procedure.

### Boundary of this issue
image.build and adapter.build run as ordinary jobs in ordinary workpods — no special path."
AP-5.3,work_package,"AP-5.3 · Model roles and routing (E-06): the capability in the job, the name in the table","Stage 5 — Intent, then captain","effort/M,kind/platform,panel/E,panel/G,panel/T,stage/5",AP-3.5,M,"E-06, G-03, T-04",SP-E06-1 through SP-E06-6,"AB-E06-2, AB-E06-5","**Stage:** 5 · **Panels:** E-06, G-03, T-04 · **Effort:** M
**Blocked by:** AP-3.5
**Specification:** SP-E06-1 through SP-E06-6
**Acceptance:** AB-E06-2, AB-E06-5

### Goal
The job names capabilities and a pinned version, not a provider. Provider and key are inserted by the egress proxy. Switching provider is therefore a table row and not an intervention in prompts or code.

### Tasks
- [ ] Three roles: classifier (~90 %, self-operable), worker (~9 %), reviewer (~1 %)
- [ ] Resolution through a capability statement; no provider name in code
- [ ] The provider pinned per project (the prompt prefix cache)
- [ ] Budgets in tokens; the euro cap reserved at the most expensive permissible provider
- [ ] Fill in the provider and price table as configuration (OP-7)

### Done when
- Switching provider is a table row; a fallback per B-04 blows no cap.

### Boundary of this issue
The classifier is chosen to be self-operable — otherwise the platform is unable to act during a provider disruption instead of merely slower."
AP-5.4,work_package,"AP-5.4 · Evidence classes as an acceptance machine (Q-02), unproven as its own exit","Stage 5 — Intent, then captain","acceptance/blocker,effort/L,kind/platform,panel/E,panel/F,panel/Q,stage/5",AP-5.2,L,"Q-02, F-06, E-06","SP-Q02-1 through SP-Q02-5, SP-K02-6, SP-E06-4","AB-Q02-1, AB-Q02-2, AB-Q02-3, AB-Q02-4, AB-Q02-6, AB-F06-1, AB-E06-4","**Stage:** 5 · **Panels:** Q-02, F-06, E-06 · **Effort:** L
**Blocked by:** AP-5.2
**Specification:** SP-Q02-1 through SP-Q02-5, SP-K02-6, SP-E06-4
**Acceptance:** AB-Q02-1, AB-Q02-2, AB-Q02-3, AB-Q02-4, AB-Q02-6, AB-F06-1, AB-E06-4

### Goal
Confidence is not an acceptance criterion. Q-01 fixes what would have been right, Q-02 demands the evidence — the two together are the pipeline that lets no defect through. Either one alone is not.

### Tasks
- [ ] Seven classes, cheapest first; the class demanded follows from the risk
- [ ] The checking pod gets diff, criterion, facts — never the author's transcript, and where possible a different model
- [ ] Self-report is marked as an assumption, not counted as evidence
- [ ] Every check blocks; non-blocking warnings are removed
- [ ] unproven with diff, gap report and assessment into the human stack
- [ ] No majority votes over correlated runs

### Done when
- A job whose criterion cannot be evidenced ends in unproven — not in delivered, not in failed.

### Boundary of this issue
Whoever reads the derivation takes on the error in it. The checker never sees the path, only the result."
AP-5.5,work_package,"AP-5.5 · Captain (T-02): a router without a model, a captain per project in a pod","Stage 5 — Intent, then captain","acceptance/blocker,effort/L,kind/platform,panel/T,panel/V,stage/5","AP-5.1, AP-5.3",L,"T-02, V-01","SP-T02-1 through SP-T02-9, SP-V01-3","AB-T02-2, AB-T02-3, AB-T02-4, AB-T02-6, AB-T02-7, AB-T02-9, AB-V01-3","**Stage:** 5 · **Panels:** T-02, V-01 · **Effort:** L
**Blocked by:** AP-5.1, AP-5.3
**Specification:** SP-T02-1 through SP-T02-9, SP-V01-3
**Acceptance:** AB-T02-2, AB-T02-3, AB-T02-4, AB-T02-6, AB-T02-7, AB-T02-9, AB-V01-3

### Goal
The captain reads more foreign text than anything else in the system and is the largest injection surface — so it belongs behind the same boundary as the work it distributes. But never with the runtime socket in the pod.

### Tasks
- [ ] A router without a model on the host: deduplicate, resolve identity, attach authority, determine the project, wake
- [ ] A captain per project, in a pod, stateless between turns
- [ ] decompose · locate · size · prioritize · dispatch
- [ ] Enforce the rights matrix: no raising of authority, no foreign pods, no host mounts, no pipeline change
- [ ] Subagents by write authority: think in the pod, read with a ro mount, write in a workpod of their own
- [ ] Events back (accepted/started/check.failed/clarification/done) with a verbosity profile per adapter

### Done when
- A project with 200 subjobs produces a handful of replies in one thread, not 200.

### Boundary of this issue
No project mounts in the captain pod. The part most prone to injection is the last one you give file authority to."
AP-5.6,work_package,AP-5.6 · Coverage check complete (F-04) with five failure causes,"Stage 5 — Intent, then captain","effort/M,kind/catalog,measurement,panel/F,stage/5","AP-5.1, AP-4.4",M,"F-04, F-05","SP-F04-1 through SP-F04-6, SP-F05-1, SP-F05-2","AB-F04-2, AB-F04-3, AB-F04-4, AB-F05-1, AB-F05-2","**Stage:** 5 · **Panels:** F-04, F-05 · **Effort:** M
**Blocked by:** AP-5.1, AP-4.4
**Specification:** SP-F04-1 through SP-F04-6, SP-F05-1, SP-F05-2
**Acceptance:** AB-F04-2, AB-F04-3, AB-F04-4, AB-F05-1, AB-F05-2

### Goal
The most expensive failure is the one that fails after twenty minutes on something that stood in a table beforehand. And more capability thrown at a wrong goal goes further in the wrong direction.

### Tasks
- [ ] criteria → resolve → coverage → gap as a hard gate before the pod starts
- [ ] Distinguish five causes: skill.missing, knowledge.missing, goal.wrong, budget.exhausted, unsolvable
- [ ] A gap becomes an ordinary job with the same pipeline and the same test bench
- [ ] Intake condition for new capabilities: an evidence class, a boundary, three corpus cases, an honest name
- [ ] Track coverage_rate and success_rate per capability

### Done when
- An uncovered job fails before the pod starts, with a named cause. MEASUREMENT: coverage_rate.

### Boundary of this issue
The coverage check stands behind Q-01, not in front of it."
AP-5.7,work_package,"AP-5.7 · Further intakes: linked and public, linking, gVisor","Stage 5 — Intent, then captain","effort/M,kind/platform,panel/E,panel/T,stage/5",AP-5.5,M,"T-01, E-02","SP-T01-1 through SP-T01-10, SP-E02-3","AB-T01-1, AB-T01-4, AB-T01-5, AB-T01-6, AB-T01-9, AB-E02-3","**Stage:** 5 · **Panels:** T-01, E-02 · **Effort:** M
**Blocked by:** AP-5.5
**Specification:** SP-T01-1 through SP-T01-10, SP-E02-3
**Acceptance:** AB-T01-1, AB-T01-4, AB-T01-5, AB-T01-6, AB-T01-9, AB-E02-3

### Goal
With the authority on the envelope, “anyone may write to me from anywhere” is a manageable risk. Without it, it is not one.

### Tasks
- [ ] One linked and one public adapter against the same contract
- [ ] First contact produces an invitation to link, not a job
- [ ] Confirmation happens on a different channel than the request
- [ ] Text from open channels is data, never instruction
- [ ] gVisor (runsc) for pods at level public — bound to the authority, not to a setting

### Done when
- A text from an open channel claiming a higher authority changes nothing about the authority of the envelope.

### Boundary of this issue
A new intake is a job after that (adapter.build), not a release."
AP-6.1,work_package,AP-6.1 · Enrollment of the nodes (B-01): token → certificate → hourly renewal,Stage 6 — Second node,"effort/M,kind/operations,panel/A,panel/B,panel/K,stage/6","AP-2.5, AP-3.1",M,"B-01, K-04, A-05","SP-B01-1 through SP-B01-5, SP-K04-5, SP-A05-4","AB-B01-1, AB-B01-5, AB-K04-5, AB-A05-4","**Stage:** 6 · **Panels:** B-01, K-04, A-05 · **Effort:** M
**Blocked by:** AP-2.5, AP-3.1
**Specification:** SP-B01-1 through SP-B01-5, SP-K04-5, SP-A05-4
**Acceptance:** AB-B01-1, AB-B01-5, AB-K04-5, AB-A05-4

### Goal
The pull design shifts the entire question of trust onto one moment: enrollment. An image is to be treated as public — it lies on every node, in every backup and in every memory dump.

### Tasks
- [ ] enrollment token single use, valid for minutes
- [ ] A node certificate with role and cell in the name; hourly overlapping renewal
- [ ] No standing secret in the image; identity comes into being at first start on encrypted /var
- [ ] TPM binding where available, attestation on joining
- [ ] Rotation as routine: nodes hourly, gate secrets weekly, issuers yearly

### Done when
- A node with an expired certificate receives no more jobs, without intervention.

### Boundary of this issue
Whatever is only rotated in an emergency rotates for the first time in an emergency."
AP-6.2,work_package,"AP-6.2 · Ferry across nodes: pull, lease, heartbeat, locality groups",Stage 6 — Second node,"acceptance/blocker,effort/M,kind/platform,measurement,panel/E,panel/K,panel/V,stage/6","AP-6.1, AP-2.3",M,"V-02, K-02, E-03","SP-V02-1 through SP-V02-5, SP-K02-1, SP-V03-3","AB-V02-1, AB-V02-4, AB-A06-10","**Stage:** 6 · **Panels:** V-02, K-02, E-03 · **Effort:** M
**Blocked by:** AP-6.1, AP-2.3
**Specification:** SP-V02-1 through SP-V02-5, SP-K02-1, SP-V03-3
**Acceptance:** AB-V02-1, AB-V02-4, AB-A06-10

### Goal
Not push, but pull. That yields failover without a leader election — and back pressure arises by itself, because an overloaded worker does not ask for more.

### Tasks
- [ ] The worker requests capacity, receives jobs with a deadline, extends it by heartbeat
- [ ] Expiry returns the job into the queue (the control plane writes)
- [ ] Sticky assignment repository → node; queues per locality_group
- [ ] Work stealing only within the group
- [ ] Cut the first locality groups (OP-8)

### Done when
- A hard-powered-off worker returns its jobs after expiry; they run to completion elsewhere. MEASUREMENT: time to resumption.

### Boundary of this issue
No Raft. Consensus only when you can prove you need it."
AP-6.3,work_package,AP-6.3 · Sharpen the network boundaries (B-02): no inbound ports,Stage 6 — Second node,"acceptance/blocker,effort/M,kind/operations,panel/A,panel/B,panel/V,stage/6",AP-6.1,M,"B-02, V-02, A-04","SP-B02-1 through SP-B02-7, SP-V02-2, SP-A04-4","AB-B02-1, AB-B02-6, AB-B02-7, AB-V02-2, AB-A06-8, AB-A04-4","**Stage:** 6 · **Panels:** B-02, V-02, A-04 · **Effort:** M
**Blocked by:** AP-6.1
**Specification:** SP-B02-1 through SP-B02-7, SP-V02-2, SP-A04-4
**Acceptance:** AB-B02-1, AB-B02-6, AB-B02-7, AB-V02-2, AB-A06-8, AB-A04-4

### Goal
A node you can log into gets repaired by hand — and from then on there are no two identical nodes any more.

### Tasks
- [ ] nftables from the image, default deny; not changeable at runtime
- [ ] No inbound ports, not even SSH; remote access over the same outbound channel or not at all
- [ ] An egress proxy per work node, not centrally
- [ ] No name resolution in the pod
- [ ] A port scan from outside as a recurring check, even after a role change

### Done when
- A port scan from outside finds nothing — even after a role change.

### Boundary of this issue
A firewall a service can change at runtime is a recommendation."
AP-6.4,work_package,"AP-6.4 · Rolling update: A/B, boot counter, three channels, healthy only after a job",Stage 6 — Second node,"acceptance/blocker,effort/M,kind/image,panel/A,stage/6",AP-6.2,M,"A-02, A-03","SP-A02-5, SP-A03-4, SP-A03-6","AB-A02-5, AB-A03-4, AB-A03-6, AB-A06-12","**Stage:** 6 · **Panels:** A-02, A-03 · **Effort:** M
**Blocked by:** AP-6.2
**Specification:** SP-A02-5, SP-A03-4, SP-A03-6
**Acceptance:** AB-A02-5, AB-A03-4, AB-A03-6, AB-A06-12

### Goal
Because workers pull instead of being called, a rolling update is trivial — no drain command needed. And a node reports “healthy” only once it has carried a job to completion. Otherwise a defective image rolls cleanly through the entire fleet.

### Tasks
- [ ] A/B via systemd-sysupdate, an atomic switch
- [ ] A boot counter, fallback after three failed starts
- [ ] Three channels: canary, stable, held; a node knows which one it is in
- [ ] The health report only after a completed job
- [ ] The version is a number, not a timestamp

### Done when
- Two versions run at the same time, no job is lost.

### Boundary of this issue
No drain command. The back pressure from V-02 takes care of that by itself."
AP-6.5,work_package,AP-6.5 · Backup by origin and the first restore drill,Stage 6 — Second node,"effort/M,kind/operations,measurement,panel/V,stage/6",AP-6.2,M,"V-05, V-02, V-01","SP-V05-1, SP-V05-2, SP-V05-3, SP-V02-3, SP-V01-2","AB-V05-1, AB-V05-3, AB-V02-3, AB-V02-5, AB-V01-2","**Stage:** 6 · **Panels:** V-05, V-02, V-01 · **Effort:** M
**Blocked by:** AP-6.2
**Specification:** SP-V05-1, SP-V05-2, SP-V05-3, SP-V02-3, SP-V01-2
**Acceptance:** AB-V05-1, AB-V05-3, AB-V02-3, AB-V02-5, AB-V01-2

### Goal
An unpracticed backup is a guess. Static stability is a claim until it has been measured once.

### Tasks
- [ ] A synchronous replica of the control data, point-in-time restore
- [ ] Judgements in the replicated append-only log; facts as a daily snapshot; snapshots and caches not backed up at all
- [ ] The audit trail separate, immutable, with its own period
- [ ] Drill: let the control plane fail — running pods run, adapters buffer, the allowlist holds, new authorities are refused
- [ ] Drill: rebuild a cell from backup, check it against the corpus, measure the time

### Done when
- A cell has been built from backup once and checked. MEASUREMENT: restore time.

### Boundary of this issue
What is derivable is not backed up. Decisions lie in Git, not in the database."
AP-7.1,work_package,AP-7.1 · Build the regression corpus out of operation,Stage 7 — Test bench,"effort/M,kind/platform,panel/F,panel/Q,stage/7",AP-5.4,M,"Q-04, F-05","SP-Q04-2, SP-Q04-5, SP-F05-2, SP-F07-5","AB-Q04-5, AB-F05-2","**Stage:** 7 · **Panels:** Q-04, F-05 · **Effort:** M
**Blocked by:** AP-5.4
**Specification:** SP-Q04-2, SP-Q04-5, SP-F05-2, SP-F07-5
**Acceptance:** AB-Q04-5, AB-F05-2

### Goal
A regression corpus that does not grow out of real failures tests the imagination of its authors.

### Tasks
- [ ] Collect recorded jobs with a known outcome
- [ ] Freeze facts, record tool responses
- [ ] Take in every case that slipped through in operation
- [ ] At least three cases per capability in the catalog

### Done when
- The corpus contains three cases per catalog entry; new capabilities without three cases are rejected.

### Boundary of this issue
No synthetic cases as a substitute for real ones."
AP-7.2,work_package,"AP-7.2 · Test bench: replay without live calls, four metrics, canary",Stage 7 — Test bench,"acceptance/blocker,effort/L,measurement,panel/Q,stage/7",AP-7.1,L,Q-04,SP-Q04-1 through SP-Q04-7,"AB-Q04-1, AB-Q04-2, AB-Q04-7","**Stage:** 7 · **Panels:** Q-04 · **Effort:** L
**Blocked by:** AP-7.1
**Specification:** SP-Q04-1 through SP-Q04-7
**Acceptance:** AB-Q04-1, AB-Q04-2, AB-Q04-7

### Goal
A change to the system prompt or a change of model alters the behavior of a thousand jobs at once and is the riskiest release in the whole system — riskier than any code step the platform executes.

### Tasks
- [ ] A repeatable run against frozen facts and a fixed model version
- [ ] escape_rate, false_reject_rate, cost_per_acceptance, no_clarification_rate
- [ ] Canary: a shadow run in operation, the result discarded, only the metrics count
- [ ] Prompt and model version pinnable per project; rolling back cheaper than repairing

### Done when
- Two runs of the same revision produce the same metrics. MEASUREMENT: escape_rate as a baseline.

### Boundary of this issue
Only after this baseline the first model change."
AP-7.3,work_package,AP-7.3 · Failure classification (Q-03) at every terminal state,Stage 7 — Test bench,"effort/S,kind/operations,panel/K,panel/Q,stage/7",AP-7.2,S,"Q-03, K-02","SP-Q03-1, SP-Q03-2, SP-K02-3","AB-Q03-1, AB-Q03-2","**Stage:** 7 · **Panels:** Q-03, K-02 · **Effort:** S
**Blocked by:** AP-7.2
**Specification:** SP-Q03-1, SP-Q03-2, SP-K02-3
**Acceptance:** AB-Q03-1, AB-Q03-2

### Goal
Failures rarely arise where a model does something wrong. They arise where nobody fixed what would have been right.

### Tasks
- [ ] Every terminal state carries one of the classes from Q-03/F-04
- [ ] escape_rate breakable down by failure class
- [ ] Report spec.wrong separately — the only class without a technical net

### Done when
- “Which kind of failure slips through” is a query, not an investigation.

### Boundary of this issue
No catch-all status. failed without a cause key is a defect in the log, not a result."
AP-7.4,work_package,"AP-7.4 · Retention, regions and deletion as a job (E-07)",Stage 7 — Test bench,"effort/M,kind/operations,panel/B,panel/E,panel/V,stage/7",AP-3.8,M,"E-07, V-04, B-03","SP-E07-1 through SP-E07-4, SP-V04-6, SP-B03-5","AB-E07-1, AB-E07-2, AB-E07-3, AB-V04-6, AB-B03-5","**Stage:** 7 · **Panels:** E-07, V-04, B-03 · **Effort:** M
**Blocked by:** AP-3.8
**Specification:** SP-E07-1 through SP-E07-4, SP-V04-6, SP-B03-5
**Acceptance:** AB-E07-1, AB-E07-2, AB-E07-3, AB-V04-6, AB-B03-5

### Goal
Because no content lies globally, worldwide operation is possible without a single record leaving its region. Deletion is a job, not a ticket.

### Tasks
- [ ] Enforce periods per kind of data (30/30/90 days, hash-bound, project+12 months, 12 months)
- [ ] A deletion job with a 30-day deadline; the deletion receipt stays in the audit trail, not the content
- [ ] Periods as a cell property, never as a runtime setting (OP-9)
- [ ] Check: globally, only identifiers are held

### Done when
- “Remove everything belonging to this project” runs as a job and is evidenced.

### Boundary of this issue
Regulatory requirements get a cell of their own, not a setting of their own."
AP-7.5,work_package,"AP-7.5 · The duty officer and the bad day (E-08, B-04)",Stage 7 — Test bench,"acceptance/blocker,effort/M,kind/operations,panel/B,panel/E,panel/K,stage/7","AP-3.6, AP-3.8",M,"E-08, B-04, K-02","SP-E08-1 through SP-E08-4, SP-B04-1 through SP-B04-5, SP-K02-7","AB-E08-1, AB-E08-4, AB-B04-1, AB-B04-2, AB-B04-3, AB-B04-4, AB-B04-5, AB-K02-7","**Stage:** 7 · **Panels:** E-08, B-04, K-02 · **Effort:** M
**Blocked by:** AP-3.6, AP-3.8
**Specification:** SP-E08-1 through SP-E08-4, SP-B04-1 through SP-B04-5, SP-K02-7
**Acceptance:** AB-E08-1, AB-E08-4, AB-B04-1, AB-B04-2, AB-B04-3, AB-B04-4, AB-B04-5, AB-K02-7

### Goal
Decided beforehand, not in the middle of it. Halting is unilateral, widening never — the only asymmetry an operations role needs.

### Tasks
- [ ] halt.set / halt.renew / halt.clear with a 60-minute expiry; a rationale mandatory, reported over all adapters
- [ ] Two people for everything that widens rights or money (OP-10)
- [ ] Implement the seven incidents from B-04 with trigger and first remedy
- [ ] Quarantine after two crashes instead of a third attempt
- [ ] Every automation with an off position and a log
- [ ] Run the drills: let a cell fail, restart the control plane, replay a backup

### Done when
- A halt that was set expires by itself after 60 minutes without renewal; the drills have been run once.

### Boundary of this issue
The global halt is a property of admission, not a restart. Whoever shoots processes in an incident destroys the evidence."
AP-8.1,work_package,AP-8.1 · A second cell at 80 % and the first migration of a project,Stage 8 — Growth,"effort/L,kind/platform,measurement,panel/E,panel/V,stage/8",AP-6.5,L,"V-03, E-03, E-04","SP-V03-1 through SP-V03-6, SP-E07-1","AB-V03-1, AB-V03-2, AB-V03-5, AB-V03-6, AB-E03-1, AB-E04-1","**Stage:** 8 · **Panels:** V-03, E-03, E-04 · **Effort:** L
**Blocked by:** AP-6.5
**Specification:** SP-V03-1 through SP-V03-6, SP-E07-1
**Acceptance:** AB-V03-1, AB-V03-2, AB-V03-5, AB-V03-6, AB-E03-1, AB-E04-1

### Goal
What scales is the cell, not the cluster. The jump is small — the same software a second time, provided K-01 carries the cell identifier from the start.

### Tasks
- [ ] Measure the cell boundary: 500 active projects or p99 admitted→occupied = 2 s
- [ ] Open a new cell at 80 %, not at 100 %
- [ ] The global layer: identifiers only — external→principal, project→cell, image index, cost accounts
- [ ] Migration: freeze the project, copy the state, re-derive the facts in the target cell, switch over

### Done when
- The cell boundary measured and recorded; one migration carried out once.

### Boundary of this issue
No global scheduler. A global scheduler is a global outage — and slower on this load into the bargain."
